record_ID;archipelago;lat;first_arrival_BP;XV_arrival;DEPTH_numeric;TIME_BP;K;Fe;Sr;N;Si;Ca;Ti;V;Mn;Fe;Cl;Sr;Zr
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4086.5;678.785;1725;29022;17257;22469;1868;1982;156798;4275;4074;4337
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4159;685.53;935;26509;11164;18156;1823;1969;157789;3817;5567;5679
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4231.5;692.265;1229;26646;11981;20125;1453;1965;161890;3875;6781;6151
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4304;699.01;1052;27795;13499;19892;1768;2718;139231;6387;4889;4661
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4425.6;713.524;867;27010;9045;13994;1249;1360;111764;4703;4428;4289
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4498.1;723.343;1952;29711;15351;22771;1655;1712;155015;4630;4155;4486
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4570.6;733.164;1400;28826;16193;24916;1693;1763;167629;4093;6584;5444
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;4944;742.7;2664;29953;24987;33094;2087;2792;206629;4682;7323;5855
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5018.3;752.762;1575;29487;25527;26036;1557;3115;206414;4671;10586;5755
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5090.8;762.582;1742;31022;19073;22676;1634;1446;143966;5103;4713;4782
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5163.3;772.402;1129;28069;13197;17983;1746;1687;130577;4510;4419;4534
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5235.8;782.222;1514;29027;18281;25019;2157;2111;160615;3864;6140;5363
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5494.6;792.354;5234;43187;31350;48363;2678;3493;241083;4847;5385;5826
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5554.6;800.484;3210;36919;26255;29204;1877;2366;148566;5504;4245;4117
funda;Flores;Azores;39.4475;-31.1939;360;1100;498;5614.6;808.608;6193;51120;31348;44627;2175;2070;192326;4923;4731;5462
